"failure_id","provider_id","equipment_id","equipment_type","location_site","location_city","location_state","location_country","failure_datetime","failure_type","failure_severity","failure_description","detected_by","recovery_action","recovery_start_datetime","recovery_end_datetime","recovery_duration_minutes","recovery_successful","recovery_notes","reported_by","affected_customers_count"
"F10016","GlobeTel","BS-9003B","base_station","RemoteStation-CPT-09","Cape Town","Western Cape","South Africa","2024-05-27T07:32:00Z","power","critical","Base station lost power after transformer explosion.","manual inspection","Transformer replaced, base station reactivated.","2024-05-27T08:00:00Z","2024-05-27T13:25:00Z","325","true","Station fully functional after transformer swap.","field_ops_cpt","2800"
"F10017","TCom-02","SW-5693F","switch","LabSwitch-MTL-14","Montreal","QC","Canada","2024-03-10T15:19:00Z","network","minor","Switch port flapping, noticed during lab simulation.","automated monitoring","Disabled affected port, replaced cable.","2024-03-10T15:20:00Z","2024-03-10T15:25:00Z","5","true","Port stable, simulation resumed.","lab_ops_mtl","0"
"F10018","NetWave","FOC-0189P","fiber_optic_cable","UnderseaFOC-SIN-06","Singapore","Singapore","Singapore","2024-05-28T04:53:00Z","environmental","critical","Undersea cable damage due to marine construction.","manual inspection","Cable rerouted, full replacement scheduled.","2024-05-28T05:15:00Z","2024-05-28T18:00:00Z","765","false","Temporary reroute in place; permanent fix pending.","marine_ops_sin","21000"
"F10019","GlobeTel","BS-9004L","base_station","RemoteStation-NBO-11","Nairobi","Nairobi County","Kenya","2024-04-20T21:59:00Z","power","major","Battery backup failed, base station lost power.","manual inspection","Replaced batteries, tested backup system.","2024-04-20T22:15:00Z","2024-04-20T23:32:00Z","77","true","Station stable, power redundancy confirmed.","field_ops_nbo","1200"
"F10020","TCom-01","RT-0604K","router","TestLab-SF-04","San Francisco","CA","USA","2024-03-15T19:02:00Z","software","warning","Router test failed during automated QA.","automated monitoring","Restarted test process, cleared error logs.","2024-03-15T19:03:00Z","2024-03-15T19:04:00Z","1","true","QA passed after reset.","qa_team_sf","0"
"F10021","GlobeTel","BS-9005N","base_station","Station-DEL-16","Delhi","Delhi","India","2024-04-29T16:44:00Z","hardware","major","Base station transceiver module failed.","automated monitoring","Module replaced, base station recalibrated.","2024-04-29T17:01:00Z","2024-04-29T17:55:00Z","54","true","Transceiver operational, signal strength restored.","sys_admin_del","890"
"F10022","NetWave","SW-5694H","switch","SwitchRoom-STO-05","Stockholm","Stockholm","Sweden","2024-05-19T22:11:00Z","hardware","critical","Switch failed due to faulty backplane.","automated monitoring","Backplane replaced, switch rebooted.","2024-05-19T22:15:00Z","2024-05-19T23:02:00Z","47","true","Switch running stable after replacement.","sys_admin_sto","670"
"F10023","TCom-02","RT-0605D","router","LabCenter-LON-07","London","London","UK","2024-04-06T07:12:00Z","software","minor","Router interface failed during firmware update.","automated monitoring","Rolled back firmware, interface restored.","2024-04-06T07:13:00Z","2024-04-06T07:17:00Z","4","true","Firmware rolled back, no errors.","qa_team_lon","0"
"F10024","GlobeTel","BS-9006S","base_station","Station-BUE-08","Buenos Aires","Buenos Aires","Argentina","2024-05-21T11:40:00Z","hardware","major","Base station main board failed unexpectedly.","automated monitoring","Main board swapped, system retested.","2024-05-21T12:20:00Z","2024-05-21T13:05:00Z","45","true","Board replaced, all tests passed.","sys_admin_bue","650"
"F10025","NetWave","FOC-0192Q","fiber_optic_cable","BridgeFOC-LON-13","London","London","UK","2024-03-25T01:30:00Z","hardware","critical","Bridge fiber cable snapped due to tension stress.","automated monitoring","Cable replaced, tension relief added.","2024-03-25T02:00:00Z","2024-03-25T06:40:00Z","280","true","Cable stable, tension protocols improved.","fiber_team_lon","12200"
"F10026","TCom-01","SW-5695K","switch","DataHall-CHI-12","Chicago","IL","USA","2024-05-17T02:58:00Z","network","major","Switch lost connection to access points.","automated monitoring","Rebooted switch, updated link settings.","2024-05-17T03:00:00Z","2024-05-17T03:25:00Z","25","true","All APs connected post reboot.","sys_admin_23","390"
"F10027","GlobeTel","BS-9007T","base_station","Station-SYD-19","Sydney","NSW","Australia","2024-04-16T13:28:00Z","environmental","major","Base station signal disrupted by high winds.","manual inspection","Antenna realigned, hardware checked.","2024-04-16T14:00:00Z","2024-04-16T15:20:00Z","80","true","Signal strength restored after realignment.","field_ops_syd","1200"
"F10028","NetWave","FOC-0102M","fiber_optic_cable","TunnelFOC-TYO-16","Tokyo","Tokyo","Japan","2024-05-06T15:24:00Z","hardware","critical","Fiber cable damaged by tunnel maintenance.","manual inspection","Cable joined, maintenance protocols updated.","2024-05-06T16:10:00Z","2024-05-06T20:35:00Z","265","true","Cable signal verified, maintenance completed.","fiber_team_tyo","9800"
"F10029","TCom-02","RT-0606E","router","TestLab-STO-22","Stockholm","Stockholm","Sweden","2024-03-17T09:28:00Z","software","minor","Router update failed during test simulation.","automated monitoring","Rolled back update, restarted router.","2024-03-17T09:29:00Z","2024-03-17T09:32:00Z","3","true","Router stable after rollback.","qa_team_sto","0"
"F10030","GlobeTel","BS-9008U","base_station","Station-NBO-21","Nairobi","Nairobi County","Kenya","2024-05-13T03:11:00Z","power","critical","Base station lost power due to cable theft.","manual inspection","Replaced power cables, secured site perimeter.","2024-05-13T04:00:00Z","2024-05-13T09:20:00Z","320","false","Site secured, awaiting police report for permanent fix.","field_ops_nbo","4100"
"F10031","TCom-01","SW-5696N","switch","DataHall-AUS-15","Austin","TX","USA","2024-04-11T07:37:00Z","power","major","Switch power supply failed, brief outage.","manual inspection","Power supply replaced, UPS installed.","2024-04-11T07:50:00Z","2024-04-11T08:20:00Z","30","true","Power redundancy confirmed, switch online.","field_ops_aus","210"
"F10032","NetWave","XCVR-313C","transceiver","TransRoom-BER-13","Berlin","Berlin","Germany","2024-05-02T10:43:00Z","hardware","critical","Transceiver failed, signal loss to multiple nodes.","automated monitoring","Replaced unit, recalibrated network devices.","2024-05-02T10:50:00Z","2024-05-02T11:45:00Z","55","true","Signal restored, monitoring ongoing.","sys_admin_ber","490"
"F10033","TCom-02","RT-0607F","router","LabCenter-BUE-18","Buenos Aires","Buenos Aires","Argentina","2024-03-31T06:22:00Z","software","minor","Router rebooted during automated test.","automated monitoring","Restarted router, checked firmware logs.","2024-03-31T06:23:00Z","2024-03-31T06:27:00Z","4","true","Router stable after reboot.","qa_team_bue","0"
"F10034","GlobeTel","BS-9009V","base_station","Station-CPT-22","Cape Town","Western Cape","South Africa","2024-05-24T18:49:00Z","hardware","major","Cooling fan failed, base station overheated.","automated monitoring","Fan replaced, system retested.","2024-05-24T19:00:00Z","2024-05-24T19:45:00Z","45","true","Temperature stable after fan replacement.","sys_admin_cpt","720"
"F10035","NetWave","FOC-0215Z","fiber_optic_cable","UnderseaFOC-PAR-20","Paris","Île-de-France","France","2024-05-26T00:35:00Z","environmental","critical","Undersea cable impacted by ship anchor.","manual inspection","Cable section replaced, rerouted traffic.","2024-05-26T01:10:00Z","2024-05-26T18:10:00Z","1020","false","Cable rerouted, full restoration pending.","marine_ops_par","17000"
"F10036","TCom-01","SW-5697R","switch","DataHall-NYC-13","New York","NY","USA","2024-04-17T13:54:00Z","network","major","Switch lost connectivity to core router.","automated monitoring","Restarted switch, reconfigured uplink.","2024-04-17T13:56:00Z","2024-04-17T14:12:00Z","16","true","Connectivity restored, monitoring ongoing.","net_ops_nyc","390"
"F10037","GlobeTel","BS-9010W","base_station","Station-DEL-25","Delhi","Delhi","India","2024-04-28T07:06:00Z","hardware","major","Base station amplifier failed, reduced coverage.","automated monitoring","Amplifier swapped, coverage tested.","2024-04-28T07:30:00Z","2024-04-28T08:17:00Z","47","true","Coverage restored, all tests passed.","sys_admin_del","670"
"F10038","NetWave","FOC-0227F","fiber_optic_cable","TunnelFOC-BER-26","Berlin","Berlin","Germany","2024-04-10T04:29:00Z","hardware","critical","Tunnel fiber cable hit by construction drill.","manual inspection","Cable replaced, construction protocol updated.","2024-04-10T05:15:00Z","2024-04-10T09:35:00Z","260","true","Cable stable, site risk mitigated.","fiber_team_ber","8100"
"F10039","TCom-02","SW-5698P","switch","LabSwitch-BUE-28","Buenos Aires","Buenos Aires","Argentina","2024-03-12T22:54:00Z","network","minor","Switch port tested for intermittent connectivity.","automated monitoring","Port disabled, cable replaced.","2024-03-12T22:55:00Z","2024-03-12T22:59:00Z","4","true","Connectivity stable post-repair.","lab_ops_bue","0"
"F10040","GlobeTel","BS-9011X","base_station","Station-SYD-32","Sydney","NSW","Australia","2024-03-14T06:16:00Z","environmental","major","Base station signal lost in severe thunderstorm.","manual inspection","Antenna retuned, site checked for water ingress.","2024-03-14T07:00:00Z","2024-03-14T09:20:00Z","140","true","Signal restored, site drainage improved.","field_ops_syd","2300"
"F10041","NetWave","FOC-0251H","fiber_optic_cable","UnderseaFOC-SIN-37","Singapore","Singapore","Singapore","2024-04-24T09:27:00Z","environmental","critical","Undersea cable damaged by underwater landslide.","manual inspection","Cable rerouted, monitoring for further movement.","2024-04-24T10:00:00Z","2024-04-24T18:00:00Z","480","false","Reroute successful; permanent repair scheduled.","marine_ops_sin","25000"
"F10042","TCom-01","RT-0608G","router","TestLab-SEA-39","Seattle","WA","USA","2024-03-22T14:41:00Z","software","warning","Router flagged for excessive test logs.","automated monitoring","Log settings adjusted, test rerun.","2024-03-22T14:42:00Z","2024-03-22T14:43:00Z","1","true","Logging normalized, test completed.","qa_team_sea","0"
"F10043","GlobeTel","BS-9012Y","base_station","Station-MTL-41","Montreal","QC","Canada","2024-05-01T19:28:00Z","hardware","major","Base station lost connectivity due to board failure.","automated monitoring","Main board replaced, system retested.","2024-05-01T19:45:00Z","2024-05-01T20:20:00Z","35","true","Connectivity restored, no further faults.","sys_admin_mtl","730"
"F10044","NetWave","FOC-0265K","fiber_optic_cable","TunnelFOC-TYO-44","Tokyo","Tokyo","Japan","2024-05-20T22:04:00Z","hardware","critical","Tunnel fiber cable failed after insulation breach.","manual inspection","Cable replaced, insulation improved.","2024-05-20T22:40:00Z","2024-05-21T02:15:00Z","215","true","Cable operational, insulation checks ongoing.","fiber_team_tyo","7100"
"F10045","TCom-02","RT-0609H","router","LabCenter-LON-46","London","London","UK","2024-04-08T11:40:00Z","software","minor","Router failed test suite during nightly run.","automated monitoring","Restarted router, cleared test environment.","2024-04-08T11:41:00Z","2024-04-08T11:44:00Z","3","true","All tests passed after restart.","qa_team_lon","0"
"F10046","GlobeTel","BS-9013Z","base_station","Station-STO-49","Stockholm","Stockholm","Sweden","2024-05-23T15:02:00Z","hardware","major","Base station lost power, hardware replacement needed.","manual inspection","Power supply replaced, hardware tested.","2024-05-23T15:30:00Z","2024-05-23T16:20:00Z","50","true","Station back online, hardware verified.","field_ops_sto","830"
"F10047","NetWave","FOC-0272L","fiber_optic_cable","BridgeFOC-PAR-52","Paris","Île-de-France","France","2024-03-28T03:55:00Z","hardware","critical","Fiber cable snapped due to bridge expansion.","automated monitoring","Cable replaced, bridge expansion protocols updated.","2024-03-28T05:00:00Z","2024-03-28T08:40:00Z","220","true","Fiber signal restored, expansion completed.","fiber_team_par","9100"
"F10048","TCom-01","SW-5699S","switch","DataHall-SEA-55","Seattle","WA","USA","2024-04-21T15:08:00Z","network","major","Switch lost connection to backup router.","automated monitoring","Backup router restarted, switch links reset.","2024-04-21T15:11:00Z","2024-04-21T15:31:00Z","20","true","Backup connectivity restored.","net_ops_sea","320"
"F10049","GlobeTel","BS-9014A","base_station","Station-MTL-58","Montreal","QC","Canada","2024-05-25T21:43:00Z","hardware","major","Base station cooling system failed.","automated monitoring","Cooling system replaced, monitored temperature.","2024-05-25T21:55:00Z","2024-05-25T22:25:00Z","30","true","Temperature stable, base station operational.","sys_admin_mtl","620"
"F10050","NetWave","FOC-0284D","fiber_optic_cable","UnderseaFOC-CPT-61","Cape Town","Western Cape","South Africa","2024-05-30T16:19:00Z","environmental","critical","Undersea cable damaged by fishing equipment.","manual inspection","Cable section replaced, rerouted data temporarily.","2024-05-30T17:00:00Z","2024-05-30T23:45:00Z","405","false","Temporary reroute active; permanent repair scheduled.","marine_ops_cpt","14300"
"F2361","NetWave","SW-4819","switch","SwitchSite-29","Frankfurt","HE","Germany","2023-04-12T09:43:00","hardware","major","Switch hardware malfunction led to packet loss and unstable network performance.","automated monitoring","Replaced faulty switch module.","2023-04-12T09:56:00","2023-04-12T10:39:00","43","true","Switch module replaced and tested successfully; network restored.","sys_admin_frank19","482"
"F2362","TCom-01","RT-7094","router","RouterNode-12","Dallas","TX","USA","2023-03-18T14:17:00","hardware","critical","Core router failed, causing regional internet outage for multiple customers.","automated monitoring","Emergency router replacement and config reload.","2023-03-18T14:26:00","2023-03-18T16:04:00","98","true","Router replaced, configuration restored. Services resumed.","net_eng_dallas","2230"
"F2363","GlobeTel","FOC-0012","fiber_optic_cable","FiberBridge-87","Mumbai","MH","India","2023-05-02T06:27:00","environmental","critical","Fiber optic cable damaged by heavy rainfall, disrupting service.","manual inspection","Cable section replaced; rerouting traffic.","2023-05-02T07:02:00","2023-05-02T19:35:00","753","true","Cable replaced; network monitored for stability.","field_ops_mum12","11892"
"F2364","TCom-02","SW-2231","switch","SwitchStation-34","Sydney","NSW","Australia","2023-03-29T13:24:00","software","minor","Software glitch caused temporary packet routing issues on switch.","automated monitoring","Switch firmware rebooted.","2023-03-29T13:25:00","2023-03-29T13:27:00","2","true","Issue resolved after reboot; no customer impact reported.","sys_admin_syd34","0"
"F2365","NetWave","BS-1118","base_station","BaseStation-19","Reykjavik","Hofudborgarsvaedi","Iceland","2023-04-07T18:46:00","power","major","Power loss at base station led to mobile service disruption.","manual inspection","Restored backup power and restarted base station.","2023-04-07T19:00:00","2023-04-07T20:11:00","71","true","Backup power enabled; station operational.","power_team_rvk","680"
"F2366","TCom-01","RT-4038","router","RouterHub-06","Boston","MA","USA","2023-05-03T11:34:00","hardware","major","Router experienced port failure, causing intermittent connectivity.","automated monitoring","Port module swapped and diagnostics run.","2023-05-03T11:46:00","2023-05-03T12:21:00","35","true","Port module swapped; all tests passed.","net_ops_boston","340"
"F2367","GlobeTel","XCVR-7421","transceiver","Transceiver-54","Cape Town","Western Cape","South Africa","2023-05-09T15:03:00","hardware","critical","Transceiver board failed, interrupting data link between two sites.","automated monitoring","Board replacement and link reinitialization.","2023-05-09T15:23:00","2023-05-09T17:34:00","131","true","Board changed, link stable after restart.","sys_admin_cpt54","2090"
"F2368","NetWave","FOC-0335","fiber_optic_cable","FiberTunnel-12","Zurich","ZH","Switzerland","2023-04-21T04:09:00","hardware","major","Connector failure in tunnel cable, impacting network speed.","manual inspection","Connector replaced; cable tested for signal integrity.","2023-04-21T04:33:00","2023-04-21T06:02:00","89","true","Connector replaced, signal restored.","field_ops_zur12","312"
"F2369","TCom-02","SW-5021","switch","SwitchLab-45","Montreal","QC","Canada","2023-04-15T12:19:00","software","warning","Lab switch experienced software timeout during QA tests.","automated monitoring","QA team restarted switch software stack.","2023-04-15T12:21:00","2023-04-15T12:22:00","1","true","QA tests resumed after restart.","qa_lab_mtl45","0"
"F2370","GlobeTel","BS-2221","base_station","BaseStation-03","Buenos Aires","BA","Argentina","2023-05-17T20:42:00","environmental","critical","Severe storm knocked out base station; major coverage loss.","manual inspection","Weather-resistant repairs and component replacement.","2023-05-17T21:03:00","2023-05-18T04:32:00","449","false","Repairs ongoing; additional parts required for full restoration.","field_ops_ba03","7040"
"F2371","NetWave","RT-3582","router","RouterSite-76","Berlin","BE","Germany","2023-04-25T07:21:00","hardware","major","Router fan malfunction caused overheating and reset.","automated monitoring","Fan replaced, router rebooted.","2023-04-25T07:31:00","2023-04-25T08:09:00","38","true","Fan replaced, router temperature normal.","net_ops_ber76","380"
"F2372","TCom-01","RT-5902","router","RouterBase-18","Seattle","WA","USA","2023-03-13T10:10:00","network","major","Network congestion detected, causing slow data rates.","automated monitoring","Traffic rerouted and congestion control updated.","2023-03-13T10:12:00","2023-03-13T10:29:00","17","true","Network flow normalized after rerouting.","sys_admin_sea18","240"
"F2373","GlobeTel","BS-3036","base_station","BaseStation-22","Stockholm","AB","Sweden","2023-04-09T08:43:00","power","major","Power supply instability at base station; frequent resets.","manual inspection","Replaced unstable power unit.","2023-04-09T08:57:00","2023-04-09T09:49:00","52","true","Power unit replaced; stability confirmed.","power_team_sth22","390"
"F2374","NetWave","FOC-0619","fiber_optic_cable","FiberUndersea-45","Singapore","SG","Singapore","2023-05-11T02:20:00","hardware","critical","Undersea cable failure impacted international traffic.","manual inspection","Undersea cable repaired with specialized crew.","2023-05-11T03:30:00","2023-05-11T20:09:00","999","false","Repairs underway; partial service restored, full fix pending.","field_ops_sg45","22400"
"F2375","TCom-02","SW-9810","switch","SwitchNode-72","Delhi","DL","India","2023-03-21T16:58:00","software","warning","Switch firmware update failed during scheduled maintenance.","automated monitoring","Firmware rolled back to previous version.","2023-03-21T17:01:00","2023-03-21T17:05:00","4","true","Rolled back firmware; switch operational.","sys_admin_del72","0"
"F2376","GlobeTel","BS-9943","base_station","BaseStation-99","Nairobi","Nairobi","Kenya","2023-05-14T23:19:00","environmental","critical","Lightning strike damaged base station electronics.","manual inspection","Damaged electronics replaced; weather shield installed.","2023-05-14T23:47:00","2023-05-15T05:39:00","352","true","Electronics replaced, weather shield fitted.","field_ops_nrb99","3200"
"F2377","TCom-01","RT-8216","router","RouterNode-27","Miami","FL","USA","2023-04-04T22:08:00","hardware","major","Router interface failure caused sporadic internet drops.","automated monitoring","Interface replaced; router rebooted.","2023-04-04T22:20:00","2023-04-04T22:49:00","29","true","Interface replaced; router stable.","net_eng_mia27","270"
"F2378","NetWave","FOC-1245","fiber_optic_cable","FiberBridge-21","Paris","IDF","France","2023-05-06T05:29:00","hardware","critical","Fiber bridge cable cut by construction work; traffic rerouted.","manual inspection","Cable spliced and traffic restored.","2023-05-06T06:10:00","2023-05-06T16:21:00","611","true","Cable spliced; network traffic normalized.","field_ops_par21","5620"
"F2379","TCom-02","SW-7432","switch","SwitchSite-88","Sydney","NSW","Australia","2023-04-02T10:14:00","hardware","minor","Switch port reset required during network expansion.","automated monitoring","Port reset performed remotely.","2023-04-02T10:17:00","2023-04-02T10:18:00","1","true","Port reset completed; network expanded.","sys_admin_syd88","0"
"F2380","GlobeTel","BS-1310","base_station","BaseStation-07","Dubai","Dubai","UAE","2023-05-23T09:36:00","environmental","major","Sandstorm damaged base station antennas; reduced coverage.","manual inspection","Antennas cleaned and replaced; coverage tested.","2023-05-23T10:02:00","2023-05-23T12:21:00","139","true","Antennas cleaned and replaced, coverage restored.","field_ops_dub07","640"
"F2381","NetWave","RT-3127","router","RouterNode-03","London","London","UK","2023-05-10T16:35:00","network","major","Router routing table error led to network instability.","automated monitoring","Routing table cleared and rebuilt.","2023-05-10T16:36:00","2023-05-10T17:05:00","29","true","Routing table rebuilt; stability confirmed.","net_ops_ldn03","450"
"F2382","GlobeTel","BS-4092","base_station","BaseStation-56","Buenos Aires","BA","Argentina","2023-04-18T11:07:00","power","major","Temporary power outage disrupted base station signal.","manual inspection","Backup generator deployed; signal restored.","2023-04-18T11:23:00","2023-04-18T12:09:00","46","true","Backup generator operational.","power_team_ba56","290"
"F2383","TCom-01","SW-8702","switch","SwitchBase-09","New York","NY","USA","2023-03-06T07:16:00","hardware","major","Switch overheated; packets dropped intermittently.","automated monitoring","Cooling system reset and switch replaced.","2023-03-06T07:21:00","2023-03-06T07:51:00","30","true","Switch replaced; cooling system monitored.","net_eng_ny09","460"
"F2384","NetWave","FOC-8894","fiber_optic_cable","FiberSite-78","Berlin","BE","Germany","2023-04-19T19:45:00","environmental","critical","Flooding damaged fiber cables causing connectivity loss.","manual inspection","Damaged cables replaced; connections tested.","2023-04-19T20:05:00","2023-04-20T06:11:00","606","false","Flooding repairs ongoing; partial restoration.","field_ops_ber78","18500"
"F2385","TCom-02","SW-6011","switch","SwitchLab-51","San Francisco","CA","USA","2023-03-15T16:02:00","software","warning","Switch test lab experienced brief software freeze.","automated monitoring","Software stack restarted remotely.","2023-03-15T16:03:00","2023-03-15T16:04:00","1","true","Test lab switch resumed normal operation.","qa_lab_sf51","0"
"F2386","GlobeTel","BS-7782","base_station","BaseStation-88","Cape Town","Western Cape","South Africa","2023-03-28T10:53:00","power","major","Power surge damaged base station relay.","manual inspection","Relay replaced, surge protectors installed.","2023-03-28T11:11:00","2023-03-28T12:34:00","83","true","Relay replaced; surge protection enhanced.","power_team_ct88","520"
"F2387","NetWave","XCVR-5671","transceiver","Transceiver-23","Tokyo","Tokyo","Japan","2023-05-15T04:45:00","hardware","major","Transceiver failed due to overheating.","automated monitoring","Transceiver component replaced.","2023-05-15T05:02:00","2023-05-15T06:04:00","62","true","Component replaced, unit running normally.","net_ops_tok23","330"
"F2388","TCom-01","SW-1095","switch","SwitchNode-13","Austin","TX","USA","2023-04-26T09:04:00","network","major","Switch network buffer overflow detected.","automated monitoring","Buffers cleared and monitored.","2023-04-26T09:09:00","2023-04-26T09:22:00","13","true","Buffers cleared; network normal.","sys_admin_aus13","190"
"F2389","GlobeTel","BS-4205","base_station","BaseStation-41","Nairobi","Nairobi","Kenya","2023-03-31T18:29:00","environmental","critical","Heavy rains led to flooding at base station site.","manual inspection","Site drained, electronics dried and tested.","2023-03-31T19:02:00","2023-04-01T03:39:00","457","false","Flooding repairs underway; monitoring next steps.","field_ops_nrb41","10400"
"F2390","NetWave","FOC-5621","fiber_optic_cable","FiberTunnel-33","Zurich","ZH","Switzerland","2023-05-08T20:11:00","hardware","major","Tunnel fiber cable experienced signal loss.","manual inspection","Cable tested; faulty segment replaced.","2023-05-08T20:28:00","2023-05-08T21:30:00","62","true","Faulty segment replaced; signal stable.","field_ops_zur33","410"
"F2391","TCom-02","SW-5569","switch","SwitchBase-15","Montreal","QC","Canada","2023-04-02T13:41:00","hardware","minor","Switch interface reset required during upgrades.","automated monitoring","Interface reset remotely.","2023-04-02T13:42:00","2023-04-02T13:43:00","1","true","Interface reset; upgrade continued.","sys_admin_mtl15","0"
"F2392","GlobeTel","BS-5917","base_station","BaseStation-62","Stockholm","AB","Sweden","2023-05-14T12:07:00","power","major","Base station outage after local grid failure.","manual inspection","Grid repaired, station restarted.","2023-05-14T12:31:00","2023-05-14T13:10:00","39","true","Grid stable; station operational.","power_team_sth62","255"
